site.name,subsite.name,coord.N.decdeg,coord.W.decdeg
cerro campana,,8.70415,-79.89185
sherman,,9.2481,-79.947792
gamboa,,9.11605,-79.698367
tapagra,,9.166333,-79.2079
el llano,,9.237533,-78.953467
loma naranjo,,9.179817,-78.88455
corp. bayano,,9.2074,-78.826467
mangowichi,,9.137667,-78.689517
casa pastoral,,8.663683,-78.161517
puertolara,,8.61355,-78.13982
yaviza,,8.204617,-77.71825
tocumen,tocumen 1,9.127433,-79.384033
tocumen,tocumen 2,9.1886,-79.402467
tocumen,tocumen 3,9.20105,-79.392467
tocumen,tocumen 4,9.21265,-79.378217
el valle,El valle Road,8.491067,-80.023
el valle,el valle,8.593233,-80.141083
meteti,meteti 3,8.450417,-78.0025
meteti,meteti 4,8.406767,-77.998983
ipeti,ipeti 1,8.972917,-78.5106
ipeti,ipeti 2,8.974317,-78.483917
ipeti,ipeti 3,8.952567,-78.446667
ipeti,ipeti 4,8.950117,-78.44955
ipeti,ipeti 5,8.952533,-78.525133
IFAD,apiario,8.31135,-77.806683
IFAD,IFAD,8.3048,-77.8159
agua fria,agua fria teak road,8.858867,-78.225083
agua fria,agua fria 1,8.836817,-78.192
agua fria,owen agua fria,8.85885,-78.2267